"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"90988","Hospital admissions due to coronary heart disease","","","E92000001","England","England","Persons","All ages","","","2022/23","387.11308","385.47233","388.75908","384.5286","389.70971","214,022","57106398","","Decreasing and getting better","Not compared","","20220000","","","1y"
"90988","Hospital admissions due to coronary heart disease","E92000001","England","E08000008","Tameside","Upper tier local authorities (post 4/23)","Persons","All ages","","","2022/23","676.1654","641.9273","711.7466","622.7991","732.632","1,480","232753","","Decreasing and getting better","Worse","Worse","20220000","","","1y"
"90988","Hospital admissions due to coronary heart disease","E92000001","England","E06000008","Blackburn with Darwen","Upper tier local authorities (post 4/23)","Persons","All ages","","","2022/23","650.482","606.8997","696.3519","582.8086","723.4307","840","155762","","Decreasing and getting better","Worse","Worse","20220000","","","1y"
"90988","Hospital admissions due to coronary heart disease","E92000001","England","E06000012","North East Lincolnshire","Upper tier local authorities (post 4/23)","Persons","All ages","","","2022/23","646.6426","608.5818","686.4489","587.4308","709.8815","1,090","157754","","No significant change","Worse","Worse","20220000","","","1y"
"90988","Hospital admissions due to coronary heart disease","E92000001","England","E08000006","Salford","Upper tier local authorities (post 4/23)","Persons","All ages","","","2022/23","633.3261","598.7617","669.3539","579.4994","690.5301","1,275","278064","","Decreasing and getting better","Worse","Worse","20220000","","","1y"
"90988","Hospital admissions due to coronary heart disease","E92000001","England","E08000016","Barnsley","Upper tier local authorities (post 4/23)","Persons","All ages","","","2022/23","611.3315","581.1034","642.7185","564.2034","661.1348","1,545","246482","","Decreasing and getting better","Worse","Worse","20220000","","","1y"
"90988","Hospital admissions due to coronary heart disease","E92000001","England","E08000018","Rotherham","Upper tier local authorities (post 4/23)","Persons","All ages","","","2022/23","590.5767","561.8717","620.3638","545.815","637.8366","1,600","268354","","Increasing and getting worse","Worse","Worse","20220000","","","1y"
"90988","Hospital admissions due to coronary heart disease","E92000001","England","E08000030","Walsall","Upper tier local authorities (post 4/23)","Persons","All ages","","","2022/23","582.8311","553.804","612.9815","537.5802","630.6751","1,520","286105","","Decreasing and getting better","Worse","Worse","20220000","","","1y"
"90988","Hospital admissions due to coronary heart disease","E92000001","England","E09000017","Hillingdon","Upper tier local authorities (post 4/23)","Persons","All ages","","","2022/23","577.5669","547.2096","609.1552","530.2677","627.7075","1,385","310681","<span class=""tooltipValueNote"">* Should be treated with caution due to Frimley Health Foundation Trust not submitting any HES data for June 2022 to March 2023. In 2021/22, between 1% and 10% of hospital patients from this area were treated at Frimley Health Foundation Trust</span>","No significant change","Worse","Worse","20220000","","","1y"
"90988","Hospital admissions due to coronary heart disease","E92000001","England","E08000011","Knowsley","Upper tier local authorities (post 4/23)","Persons","All ages","","","2022/23","572.0126","533.777","612.2381","512.6339","635.9804","850","157103","","Decreasing and getting better","Worse","Worse","20220000","","","1y"
"90988","Hospital admissions due to coronary heart disease","E92000001","England","E06000032","Luton","Upper tier local authorities (post 4/23)","Persons","All ages","","","2022/23","569.9333","533.0434","608.6655","512.6102","631.506","925","226973","","Decreasing and getting better","Worse","Worse","20220000","","","1y"
"90988","Hospital admissions due to coronary heart disease","E92000001","England","E09000018","Hounslow","Upper tier local authorities (post 4/23)","Persons","All ages","","","2022/23","563.9361","531.4427","597.8622","513.36","617.8181","1,175","290488","","Decreasing and getting better","Worse","Worse","20220000","","","1y"
"90988","Hospital admissions due to coronary heart disease","E92000001","England","E06000063","Cumberland","Upper tier local authorities (post 4/23)","Persons","All ages","","","2022/23","555.8511","530.2682","582.3424","515.9327","597.867","1,800","275390","","Decreasing and getting better","Worse","Worse","20220000","","","1y"
"90988","Hospital admissions due to coronary heart disease","E92000001","England","E06000013","North Lincolnshire","Upper tier local authorities (post 4/23)","Persons","All ages","","","2022/23","555.5998","522.2854","590.4716","503.7852","611.0074","1,050","170042","","Decreasing and getting better","Worse","Worse","20220000","","","1y"
"90988","Hospital admissions due to coronary heart disease","E92000001","England","E08000024","Sunderland","Upper tier local authorities (post 4/23)","Persons","All ages","","","2022/23","550.2822","523.6838","577.8778","508.8031","594.0637","1,615","277354","","Decreasing and getting better","Worse","Worse","20220000","","","1y"
"90988","Hospital admissions due to coronary heart disease","E92000001","England","E09000012","Hackney","Upper tier local authorities (post 4/23)","Persons","All ages","","","2022/23","536.5559","498.0848","577.0792","476.8338","601.0104","810","272338","<span class=""tooltipValueNote"">* Value for Hackney and City of London combined</span>","No significant change","Worse","Worse","20220000","","","1y"
"90988","Hospital admissions due to coronary heart disease","E92000001","England","E08000005","Rochdale","Upper tier local authorities (post 4/23)","Persons","All ages","","","2022/23","535.7241","504.1762","568.7243","486.647","588.1519","1,080","226992","","Decreasing and getting better","Worse","Worse","20220000","","","1y"
"90988","Hospital admissions due to coronary heart disease","E92000001","England","E06000006","Halton","Upper tier local authorities (post 4/23)","Persons","All ages","","","2022/23","530.7319","491.3159","572.4534","469.6325","597.146","680","128964","","Decreasing and getting better","Worse","Worse","20220000","","","1y"
"90988","Hospital admissions due to coronary heart disease","E92000001","England","E08000032","Bradford","Upper tier local authorities (post 4/23)","Persons","All ages","","","2022/23","525.7232","504.946","547.1338","493.2561","559.6531","2,425","552644","","Decreasing and getting better","Worse","Worse","20220000","","","1y"
"90988","Hospital admissions due to coronary heart disease","E92000001","England","E08000013","St. Helens","Upper tier local authorities (post 4/23)","Persons","All ages","","","2022/23","523.0291","491.2551","556.3129","473.6213","575.92","1,015","184728","","Decreasing and getting better","Worse","Worse","20220000","","","1y"
