"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","E92000001","England","D82058","D82058 - Coastal Villages Practice","","Persons","18+ yrs","","","2022/23","13.8014","13.2594","14.3618","12.9552","14.6934","2076","15042","","No significant change","Higher","","20220000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","E92000001","England","D82007","D82007 - East Norfolk Medical Practice","","Persons","18+ yrs","","","2022/23","14.7975","14.3156","15.2927","14.0438","15.5843","3003","20294","","No significant change","Higher","","20220000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","E92000001","England","D82600","D82600 - Fleggburgh Surgery","","Persons","18+ yrs","","","2022/23","10.5875","9.1516","12.2184","8.4085","13.2494","164","1549","","No significant change","Similar","","20220000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","E92000001","England","Y06275","Y06275 - Nelson Medical Centre","","Persons","18+ yrs","","","2022/23","17.8383","16.7743","18.9544","16.1846","19.6214","845","4737","","No significant change","Higher","","20220000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","E92000001","England","D82067","D82067 - The Park Surgery","","Persons","18+ yrs","","","2022/23","13.6452","13.0243","14.2909","12.6774","14.6745","1540","11286","","No significant change","Higher","","20220000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","E92000001","England","D82058","D82058 - Coastal Villages Practice","","Persons","15+ yrs","","","2022/23","13.4789","12.9508","14.0251","12.6544","14.3482","2093","15528","","No significant change","Worse","","20220000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","E92000001","England","D82007","D82007 - East Norfolk Medical Practice","","Persons","15+ yrs","","","2022/23","27.6265","27.028","28.2331","26.6866","28.5866","5843","21150","","Decreasing and getting better","Better","","20220000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","E92000001","England","D82600","D82600 - Fleggburgh Surgery","","Persons","15+ yrs","","","2022/23","13.6478","12.0478","15.4231","11.2034","16.5262","217","1590","","No significant change","Similar","","20220000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","E92000001","England","Y06275","Y06275 - Nelson Medical Centre","","Persons","15+ yrs","","","2022/23","31.7171","30.4405","33.0218","29.718","33.786","1583","4991","","Decreasing and getting better","Better","","20220000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","E92000001","England","D82067","D82067 - The Park Surgery","","Persons","15+ yrs","","","2022/23","28.0428","27.2389","28.861","26.7821","29.339","3304","11782","","Decreasing and getting better","Better","","20220000","","","1y"
