"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2009/10","13.3514","13.3424","13.3604","","","7321472","54836561","","","","","20090000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","U13557","Norwich PCN","Primary Care Network (v. 26/04/24)","Persons","All ages","","","2009/10","13.2102","12.9589","13.4656","12.8158","13.6148","9063","68606","Aggregated from all known lower geography values","","","","20090000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","U13557","Norwich PCN","D82013","Old Catton Medical Practice","General Practice","Persons","All ages","","","2009/10","12.8974","12.1704","13.6611","","","1002","7769","","","","","20090000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2010/11","13.5228","13.5138","13.5319","","","7460497","55169643","","","","","20100000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","U13557","Norwich PCN","Primary Care Network (v. 26/04/24)","Persons","All ages","","","2010/11","13.0428","12.7952","13.2944","12.6543","13.4414","9122","69939","Aggregated from all known lower geography values","","","","20100000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","U13557","Norwich PCN","D82013","Old Catton Medical Practice","General Practice","Persons","All ages","","","2010/11","12.9203","12.1924","13.6848","","","1003","7763","","","","","20100000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2011/12","13.6297","13.6206","13.6387","","","7567965","55525732","","","","","20110000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","U13557","Norwich PCN","Primary Care Network (v. 26/04/24)","Persons","All ages","","","2011/12","12.6414","12.4013","12.8854","12.2647","13.028","9153","72405","Aggregated from all known lower geography values","","","","20110000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","U13557","Norwich PCN","D82013","Old Catton Medical Practice","General Practice","Persons","All ages","","","2011/12","12.5856","11.8651","13.3432","","","974","7739","","","","","20110000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2012/13","13.6756","13.6666","13.6846","13.6615","13.6898","7660010","56012096","","","","","20120000","New data","","1y"
