"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","","","E92000001","England","England","Persons","18+ yrs","","","2015/16","9.4514","9.4429","9.4598","9.438","9.4647","4317919","45685713","","","","","20150000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","E92000001","England","U13557","Norwich PCN","Primary Care Network (v. 26/04/24)","Persons","18+ yrs","","","2015/16","8.5697","8.354","8.7904","8.2319","8.9201","5417","63211","Aggregated from all known lower geography values","","","","20150000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","U13557","Norwich PCN","D82013","Old Catton Medical Practice","General Practice","Persons","18+ yrs","","","2015/16","7.1019","6.4754","7.7839","","","421","5928","","","","","20150000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","","","E92000001","England","England","Persons","18+ yrs","","","2016/17","9.6521","9.6436","9.6606","9.6387","9.6655","4449136","46094999","","","","","20160000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","E92000001","England","U13557","Norwich PCN","Primary Care Network (v. 26/04/24)","Persons","18+ yrs","","","2016/17","8.782","8.5656","9.0033","8.443","9.1332","5642","64245","Aggregated from all known lower geography values","","","","20160000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","U13557","Norwich PCN","D82013","Old Catton Medical Practice","General Practice","Persons","18+ yrs","","","2016/17","7.5587","6.9101","8.2628","","","444","5874","","","","","20160000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","","","E92000001","England","England","Persons","18+ yrs","","","2017/18","9.7557","9.7472","9.7643","9.7423","9.7692","4530447","46438886","","","","","20170000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","E92000001","England","U13557","Norwich PCN","Primary Care Network (v. 26/04/24)","Persons","18+ yrs","","","2017/18","9.2618","9.0421","9.4863","8.9175","9.618","6060","65430","Aggregated from all known lower geography values","","","","20170000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","U13557","Norwich PCN","D82013","Old Catton Medical Practice","General Practice","Persons","18+ yrs","","","2017/18","7.7283","7.0671","8.4457","6.7105","8.8858","446","5771","","","","","20170000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","","","E92000001","England","England","Persons","18+ yrs","","","2018/19","10.1191","10.1105","10.1277","10.1056","10.1327","4782760","47264560","","","","","20180000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","E92000001","England","U13557","Norwich PCN","Primary Care Network (v. 26/04/24)","Persons","18+ yrs","","","2018/19","9.4857","9.2656","9.7105","9.1407","9.8423","6321","66637","Aggregated from all known lower geography values","","","","20180000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","U13557","Norwich PCN","D82013","Old Catton Medical Practice","General Practice","Persons","18+ yrs","","","2018/19","8.5986","7.9031","9.3491","7.5263","9.8075","497","5780","","","","","20180000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","","","E92000001","England","England","Persons","18+ yrs","","","2019/20","10.5131","10.5044","10.5217","10.4994","10.5267","5061690","48146685","","","","","20190000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","E92000001","England","U13557","Norwich PCN","Primary Care Network (v. 26/04/24)","Persons","18+ yrs","","","2019/20","9.4493","9.2306","9.6727","9.1065","9.8036","6356","67264","Aggregated from all known lower geography values","","","","20190000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","U13557","Norwich PCN","D82013","Old Catton Medical Practice","General Practice","Persons","18+ yrs","","","2019/20","8.3564","7.6703","9.0978","7.2991","9.5511","483","5780","","","","","20190000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","","","E92000001","England","England","Persons","18+ yrs","","","2020/21","6.8801","6.873","6.8872","6.8689","6.8913","3334036","48459095","","","","","20200000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","E92000001","England","U13557","Norwich PCN","Primary Care Network (v. 26/04/24)","Persons","18+ yrs","","","2020/21","7.7253","7.5269","7.9284","7.4146","8.0478","5248","67933","Aggregated from all known lower geography values","","","","20200000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","U13557","Norwich PCN","D82013","Old Catton Medical Practice","General Practice","Persons","18+ yrs","","","2020/21","6.8031","6.1865","7.4762","5.8557","7.8909","399","5865","","","","","20200000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","","","E92000001","England","England","Persons","18+ yrs","","","2021/22","9.7226","9.7143","9.7308","9.7095","9.7356","4791038","49277553","","","","","20210000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","E92000001","England","U13557","Norwich PCN","Primary Care Network (v. 26/04/24)","Persons","18+ yrs","","","2021/22","10.0811","9.8569","10.3099","9.7297","10.4438","6845","67899","Aggregated from all known lower geography values","","","","20210000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","U13557","Norwich PCN","D82013","Old Catton Medical Practice","General Practice","Persons","18+ yrs","","","2021/22","8.5255","7.8467","9.2571","7.4786","9.7035","514","6029","","","","","20210000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","","","E92000001","England","England","Persons","18+ yrs","","","2022/23","11.369","11.3602","11.3779","11.3552","11.3829","5679197","49953136","","","","","20220000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","E92000001","England","U13557","Norwich PCN","Primary Care Network (v. 26/04/24)","Persons","18+ yrs","","","2022/23","11.5387","11.3021","11.7795","11.1676","11.9204","7940","68812","Aggregated from all known lower geography values","","","","20220000","","","1y"
"92588","Obesity: QOF prevalence (18+ yrs) - replaced after 2022/23","U13557","Norwich PCN","D82013","Old Catton Medical Practice","General Practice","Persons","18+ yrs","","","2022/23","11.6921","10.918","12.5133","10.4927","13.0086","729","6235","","No significant change","","","20220000","","","1y"
