"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"91280","Smoking: QOF prevalence (15+ yrs)","","","E92000001","England","England","Persons","15+ yrs","","","2013/14","19.1225","19.1112","19.1338","","","8935216","46726253","","","","","20130000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","E92000001","England","U13557","Norwich PCN","Primary Care Network (v. 26/04/24)","Persons","15+ yrs","","","2013/14","21.9221","21.6042","22.2434","21.4225","22.4301","14115","64387","Aggregated from all known lower geography values","","","","20130000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","U13557","Norwich PCN","D82013","Old Catton Medical Practice","General Practice","Persons","15+ yrs","","","2013/14","18.8679","17.9253","19.8482","","","1200","6360","","","","","20130000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","","","E92000001","England","England","Persons","15+ yrs","","","2014/15","18.4403","18.4292","18.4514","","","8667822","47004724.94684555","","","","","20140000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","E92000001","England","U13557","Norwich PCN","Primary Care Network (v. 26/04/24)","Persons","15+ yrs","","","2014/15","21.3427","21.0291","21.6597","20.8498","21.844","13843","64860.6128647236","Aggregated from all known lower geography values","","","","20140000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","U13557","Norwich PCN","D82013","Old Catton Medical Practice","General Practice","Persons","15+ yrs","","","2014/15","18.382","17.4461","19.3564","","","1161","6315.96494440811","","","","","20140000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","","","E92000001","England","England","Persons","15+ yrs","","","2015/16","18.0975","18.0866","18.1084","","","8611469","47583744","","","","","20150000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","E92000001","England","U13557","Norwich PCN","Primary Care Network (v. 26/04/24)","Persons","15+ yrs","","","2015/16","20.9813","20.6712","21.2948","20.494","21.4771","13748","65525","Aggregated from all known lower geography values","","","","20150000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","U13557","Norwich PCN","D82013","Old Catton Medical Practice","General Practice","Persons","15+ yrs","","","2015/16","17.749","16.8161","18.7219","","","1096","6175","","","","","20150000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","","","E92000001","England","England","Persons","15+ yrs","","","2016/17","17.5586","17.5467","17.5704","","","8421069","47959877","","","","","20160000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","E92000001","England","U13557","Norwich PCN","Primary Care Network (v. 26/04/24)","Persons","15+ yrs","","","2016/17","20.219","19.9157","20.5259","19.7423","20.7044","13458","66561","Aggregated from all known lower geography values","","","","20160000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","U13557","Norwich PCN","D82013","Old Catton Medical Practice","General Practice","Persons","15+ yrs","","","2016/17","17.1335","16.1108","18.2041","","","1046","6105","","","","","20160000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","","","E92000001","England","England","Persons","15+ yrs","","","2017/18","17.1926","17.1809","17.2043","17.1741","17.211","8301429","48284973","","","","","20170000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","E92000001","England","U13557","Norwich PCN","Primary Care Network (v. 26/04/24)","Persons","15+ yrs","","","2017/18","19.7383","19.4403","20.0396","19.2701","20.215","13378","67777","Aggregated from all known lower geography values","","","","20170000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","U13557","Norwich PCN","D82013","Old Catton Medical Practice","General Practice","Persons","15+ yrs","","","2017/18","16.128","15.1278","17.1768","14.5733","17.795","968","6002","","","","","20170000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","","","E92000001","England","England","Persons","15+ yrs","","","2018/19","16.7419","16.7314","16.7523","16.7254","16.7583","8229341","49154307","","","","","20180000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","E92000001","England","U13557","Norwich PCN","Primary Care Network (v. 26/04/24)","Persons","15+ yrs","","","2018/19","19.2716","18.979","19.5676","18.8119","19.7399","13298","69003","Aggregated from all known lower geography values","","","","20180000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","U13557","Norwich PCN","D82013","Old Catton Medical Practice","General Practice","Persons","15+ yrs","","","2018/19","15.4588","14.5673","16.3943","14.0733","16.9537","930","6016","","","","","20180000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","","","E92000001","England","England","Persons","15+ yrs","","","2019/20","16.4645","16.4533","16.4758","16.4468","16.4823","8250060","50108077","","","","","20190000","","","1y"
