"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2009/10","13.3514","13.3424","13.3604","","","7321472","54836561","","","","","20090000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","U72706","Great Yarmouth and Northern Villages PCN","Primary Care Network (v. 26/04/24)","Persons","All ages","","","2009/10","18.5206","18.1461","18.9011","17.9328","19.1232","7534","40679","Aggregated from all known lower geography values","","","","20090000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","U72706","Great Yarmouth and Northern Villages PCN","D82067","The Park Surgery","General Practice","Persons","All ages","","","2009/10","13.8087","13.1229","14.5243","","","1286","9313","","","","","20090000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2010/11","13.5228","13.5138","13.5319","","","7460497","55169643","","","","","20100000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","U72706","Great Yarmouth and Northern Villages PCN","Primary Care Network (v. 26/04/24)","Persons","All ages","","","2010/11","18.8894","18.5129","19.2717","18.2985","19.4947","7725","40896","Aggregated from all known lower geography values","","","","20100000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","U72706","Great Yarmouth and Northern Villages PCN","D82067","The Park Surgery","General Practice","Persons","All ages","","","2010/11","14.2583","13.5658","14.9801","","","1339","9391","","","","","20100000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2011/12","13.6297","13.6206","13.6387","","","7567965","55525732","","","","","20110000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","U72706","Great Yarmouth and Northern Villages PCN","Primary Care Network (v. 26/04/24)","Persons","All ages","","","2011/12","19.2553","18.8766","19.6398","18.6608","19.8642","7897","41012","Aggregated from all known lower geography values","","","","20110000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","U72706","Great Yarmouth and Northern Villages PCN","D82067","The Park Surgery","General Practice","Persons","All ages","","","2011/12","14.8012","14.1025","15.5282","","","1411","9533","","","","","20110000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2012/13","13.6756","13.6666","13.6846","13.6615","13.6898","7660010","56012096","","","","","20120000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","U72706","Great Yarmouth and Northern Villages PCN","Primary Care Network (v. 26/04/24)","Persons","All ages","","","2012/13","19.3779","18.9997","19.7617","18.7842","19.9856","8011","41341","Aggregated from all known lower geography values","","","","20120000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","U72706","Great Yarmouth and Northern Villages PCN","D82067","The Park Surgery","General Practice","Persons","All ages","","","2012/13","14.911","14.2188","15.6308","","","1458","9778","","","","","20120000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2013/14","13.7339","13.7249","13.7429","13.7197","13.7481","7735592","56324887","","","","","20130000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","U72706","Great Yarmouth and Northern Villages PCN","Primary Care Network (v. 26/04/24)","Persons","All ages","","","2013/14","19.7178","19.3376","20.1036","19.1209","20.3286","8174","41455","Aggregated from all known lower geography values","","","","20130000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","U72706","Great Yarmouth and Northern Villages PCN","D82067","The Park Surgery","General Practice","Persons","All ages","","","2013/14","15.0856","14.3333","15.8673","","","1506","9983","","","","","20130000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2014/15","13.7876","13.7786","13.7965","13.7735","13.8017","7833779","56817654","","","","","20140000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","U72706","Great Yarmouth and Northern Villages PCN","Primary Care Network (v. 26/04/24)","Persons","All ages","","","2014/15","19.5879","19.2112","19.9701","18.9966","20.193","8232","42026","Aggregated from all known lower geography values","","","","20140000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","U72706","Great Yarmouth and Northern Villages PCN","D82067","The Park Surgery","General Practice","Persons","All ages","","","2014/15","14.7798","14.1101","15.4756","","","1534","10379","","","","","20140000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2015/16","13.813","13.804","13.8219","13.7989","13.827","7949274","57549410","","","","","20150000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","U72706","Great Yarmouth and Northern Villages PCN","Primary Care Network (v. 26/04/24)","Persons","All ages","","","2015/16","19.3855","19.0145","19.7619","18.8031","19.9814","8334","42991","Aggregated from all known lower geography values","","","","20150000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","U72706","Great Yarmouth and Northern Villages PCN","D82067","The Park Surgery","General Practice","Persons","All ages","","","2015/16","14.3833","13.7393","15.0522","","","1579","10978","","","","","20150000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2016/17","13.8346","13.8257","13.8434","13.8206","13.8486","8028077","58029147","","","","","20160000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","U72706","Great Yarmouth and Northern Villages PCN","Primary Care Network (v. 26/04/24)","Persons","All ages","","","2016/17","17.4664","17.1556","17.7817","16.9783","17.9655","9868","56497","Aggregated from all known lower geography values","","","","20160000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","U72706","Great Yarmouth and Northern Villages PCN","D82067","The Park Surgery","General Practice","Persons","All ages","","","2016/17","13.5758","12.975","14.2","","","1631","12014","","","","","20160000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2017/18","13.9449","13.936","13.9538","13.9309","13.9589","8141488","58383266","","","","","20170000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","U72706","Great Yarmouth and Northern Villages PCN","Primary Care Network (v. 26/04/24)","Persons","All ages","","","2017/18","17.5135","17.2037","17.8276","17.027","18.0108","9986","57019","Aggregated from all known lower geography values","","","","20170000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","U72706","Great Yarmouth and Northern Villages PCN","D82067","The Park Surgery","General Practice","Persons","All ages","","","2017/18","13.2454","12.6627","13.8507","12.3368","14.2101","1657","12510","","","","","20170000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2018/19","13.9603","13.9515","13.9691","13.9464","13.9742","8290457","59386096","","","","","20180000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","E92000001","England","U72706","Great Yarmouth and Northern Villages PCN","Primary Care Network (v. 26/04/24)","Persons","All ages","","","2018/19","17.3495","17.0577","17.6453","16.8911","17.8177","11069","63800","Aggregated from all known lower geography values","","","","20180000","New data","","1y"
"219","Hypertension: QOF prevalence (all ages)","U72706","Great Yarmouth and Northern Villages PCN","D82067","The Park Surgery","General Practice","Persons","All ages","","","2018/19","13.2486","12.6761","13.8428","12.3558","14.1954","1719","12975","","","","","20180000","New data","","1y"
