"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"91280","Smoking: QOF prevalence (15+ yrs)","","","E92000001","England","England","Persons","15+ yrs","","","2013/14","19.1225","19.1112","19.1338","","","8935216","46726253","","","","","20130000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","E92000001","England","U72706","Great Yarmouth and Northern Villages PCN","Primary Care Network (v. 26/04/24)","Persons","15+ yrs","","","2013/14","19.8306","19.4199","20.2477","19.1861","20.4912","7069","35647","Aggregated from all known lower geography values","","","","20130000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","U72706","Great Yarmouth and Northern Villages PCN","D82067","The Park Surgery","General Practice","Persons","15+ yrs","","","2013/14","30.1929","29.2202","31.1838","","","2535","8396","","","","","20130000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","","","E92000001","England","England","Persons","15+ yrs","","","2014/15","18.4403","18.4292","18.4514","","","8667822","47004724.94684555","","","","","20140000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","E92000001","England","U72706","Great Yarmouth and Northern Villages PCN","Primary Care Network (v. 26/04/24)","Persons","15+ yrs","","","2014/15","19.6184","19.2117","20.0315","18.9801","20.2727","7072","36047.85257554238","Aggregated from all known lower geography values","","","","20140000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","U72706","Great Yarmouth and Northern Villages PCN","D82067","The Park Surgery","General Practice","Persons","15+ yrs","","","2014/15","29.6594","28.7063","30.6305","","","2567","8654.930033317469","","","","","20140000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","","","E92000001","England","England","Persons","15+ yrs","","","2015/16","18.0975","18.0866","18.1084","","","8611469","47583744","","","","","20150000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","E92000001","England","U72706","Great Yarmouth and Northern Villages PCN","Primary Care Network (v. 26/04/24)","Persons","15+ yrs","","","2015/16","20.1402","19.7336","20.5531","19.5019","20.794","7411","36797","Aggregated from all known lower geography values","","","","20150000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","U72706","Great Yarmouth and Northern Villages PCN","D82067","The Park Surgery","General Practice","Persons","15+ yrs","","","2015/16","28.792","27.8724","29.7295","","","2629","9131","","","","","20150000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","","","E92000001","England","England","Persons","15+ yrs","","","2016/17","17.5586","17.5467","17.5704","","","8421069","47959877","","","","","20160000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","E92000001","England","U72706","Great Yarmouth and Northern Villages PCN","Primary Care Network (v. 26/04/24)","Persons","15+ yrs","","","2016/17","24.7188","24.3343","25.1074","24.1144","25.3333","11825","47838","Aggregated from all known lower geography values","","","","20160000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","U72706","Great Yarmouth and Northern Villages PCN","D82067","The Park Surgery","General Practice","Persons","15+ yrs","","","2016/17","29.7778","28.715","30.8699","","","2962","9947","","","","","20160000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","","","E92000001","England","England","Persons","15+ yrs","","","2017/18","17.1926","17.1809","17.2043","17.1741","17.211","8301429","48284973","","","","","20170000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","E92000001","England","U72706","Great Yarmouth and Northern Villages PCN","Primary Care Network (v. 26/04/24)","Persons","15+ yrs","","","2017/18","24.5424","24.1607","24.9282","23.9424","25.1525","11854","48300","Aggregated from all known lower geography values","","","","20170000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","U72706","Great Yarmouth and Northern Villages PCN","D82067","The Park Surgery","General Practice","Persons","15+ yrs","","","2017/18","30.0811","29.0338","31.1566","28.4428","31.7845","3114","10352","","","","","20170000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","","","E92000001","England","England","Persons","15+ yrs","","","2018/19","16.7419","16.7314","16.7523","16.7254","16.7583","8229341","49154307","","","","","20180000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","E92000001","England","U72706","Great Yarmouth and Northern Villages PCN","Primary Care Network (v. 26/04/24)","Persons","15+ yrs","","","2018/19","25.4495","25.0827","25.8197","24.8729","26.0348","13660","53675","Aggregated from all known lower geography values","","","","20180000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","U72706","Great Yarmouth and Northern Villages PCN","D82067","The Park Surgery","General Practice","Persons","15+ yrs","","","2018/19","30.395","29.531","31.2731","29.0394","31.7855","3255","10709","","","","","20180000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","","","E92000001","England","England","Persons","15+ yrs","","","2019/20","16.4645","16.4533","16.4758","16.4468","16.4823","8250060","50108077","","","","","20190000","","","1y"
"91280","Smoking: QOF prevalence (15+ yrs)","E92000001","England","U72706","Great Yarmouth and Northern Villages PCN","Primary Care Network (v. 26/04/24)","Persons","15+ yrs","","","2019/20","25.1829","24.8195","25.5498","24.6115","25.763","13667","54271","Aggregated from all known lower geography values","","","","20190000","","","1y"
